"","customer_id","cluster","age","income","member_days","gender_male","gender_female","gender_other","total_offer_received","total_offer_viewed","total_offer_completed","avg_offer_reward","avg_offer_difficulty","offer_bogo_cnt","offer_discount_cnt","offer_information_cnt","channel_email_cnt","channel_web_cnt","channel_mobile_cnt","channel_social_cnt","total_vr","total_cr","offer_bogo_vr","offer_bogo_cr","offer_discount_vr","offer_discount_cr","offer_information_vr","num_transactions","avg_amount_spent"
"1","0610b486422d4921ae7d2bf64640c50b","1",55,112000,382,"0","1","0",2,0,1,2.5,2.5,1,0,1,2,2,2,0,0,0,0,0,0,0,0,3,25.67
"2","78afa995795e4d85b5d9ceeca43f5fef","2",75,1e+05,449,"0","1","0",4,4,3,5,5,3,0,1,4,2,4,3,1,0.75,1,1,0,0,1,7,22.75
"3","e2127556f4f64592b11af22de27a7932","1",68,70000,97,"1","0","0",4,3,2,2.25,6.25,1,2,1,4,4,4,1,0.75,0.67,1,1,1,0.5,0,3,19.24
"4","389bc3fa690240e798340f5a15918d5c","3",65,53000,173,"1","0","0",6,6,5,4,6.67,4,2,0,6,6,6,3,1,0.83,1,0.75,1,1,0,3,12.14
"5","2eeac8d8feae4a8cad5a6af0499a211d","1",58,51000,263,"1","0","0",3,2,1,1.67,5.67,0,2,1,3,3,3,2,0.67,0.5,0,0,1,0.5,0,4,3.9
"6","aa4862eba776480b8bb9c68455b8c2e1","2",61,57000,324,"0","1","0",5,5,3,6,9,3,1,1,5,3,4,4,1,0.6,1,1,1,0,1,6,14.26
"7","e12aeaf2d47d42479ea1c4ac3d8286c6","1",26,46000,1630,"1","0","0",6,1,1,4.83,15,1,5,0,6,5,3,1,0.17,1,1,0,0,0,0,11,5.11
"8","31dda685af34476cad5bc968bdb01c53","3",62,71000,902,"0","1","0",6,5,4,3,10.17,0,6,0,6,6,5,5,0.83,0.8,0,0,0.83,0.8,0,8,20.03
"9","62cf5e10845442329191fc246e7bcea3","1",49,52000,1357,"1","0","0",3,2,1,5,10,1,1,1,3,1,2,2,0.67,0.5,1,1,0,0,1,9,16.01
"10","6445de3b47274c759400cd68131d91b4","1",57,42000,213,"1","0","0",5,1,2,3.6,7.4,2,2,1,5,5,4,1,0.2,2,0,0,0.5,1,0,6,3.18
"11","a448667f336b42c9a66fc5ffd5d73772","1",61,40000,92,"0","1","0",3,2,0,5,5,2,0,1,3,1,3,2,0.67,0,0.5,0,0,0,1,7,2.97
"12","440cf1fd7580490c971d8c651ed962af","3",40,71000,819,"0","1","0",5,4,5,3.2,10.2,0,5,0,5,5,4,3,0.8,1.25,0,0,0.8,1.25,0,16,18.79
"13","4b0da7e80e5945209a1fdddfe813dbe0","3",64,1e+05,326,"1","0","0",5,4,3,6,12,2,2,1,5,3,3,2,0.8,0.75,1,0.5,0.5,2,1,7,30.18
"14","c27e0d6ab72c455a8bb66d980963de60","2",78,71000,411,"0","1","0",6,6,1,2,3.33,1,1,4,6,4,6,4,1,0.17,1,0,1,1,1,8,19.43
"15","f806632c011441378d4646567f357a21","3",42,69000,1816,"1","0","0",4,4,3,3.5,7.5,1,2,1,4,4,4,3,1,0.75,1,1,1,1,1,5,18.28
"16","d058f73bf8674a26a95227db098147b1","3",56,88000,95,"0","1","0",6,6,4,5.33,11.67,3,3,0,6,6,4,1,1,0.67,1,0.33,1,1,0,3,25.21
"17","c6c9884912c645429f3333f912b55f44","2",33,52000,309,"0","1","0",6,3,1,3.17,10.33,1,5,0,6,6,5,2,0.5,0.33,0,0,0.6,0.33,0,9,1.99
"18","7429a044884842d6862f516c38b1156f","1",46,59000,324,"0","1","0",4,1,0,5,12.5,1,2,1,4,4,2,1,0.25,0,1,0,0,0,0,1,2.88
"19","ebe7ef46ea6f4963a7dd49f501b26779","2",59,41000,1288,"1","0","0",6,5,2,2.33,5,2,2,2,6,4,6,3,0.83,0.4,0.5,0,1,1,1,13,4.01
"20","5917d13f6fa04286abdf95f4d5cefb1e","3",67,96000,1439,"1","0","0",4,3,4,5.25,7.25,2,2,0,4,3,4,4,0.75,1.33,0.5,2,1,1,0,8,25.86
"21","d1ede868e29245ea91818a903fec04c6","2",53,52000,319,"0","0","1",5,3,1,5.4,7,3,1,1,5,4,5,3,0.6,0.33,0.67,0,0,0,1,5,3.75
"22","1e9420836d554513ab90eba98552d0a9","3",22,70000,310,"1","0","0",6,6,4,6.33,9.5,3,2,1,6,5,5,4,1,0.67,1,0.67,1,1,1,6,17.73
"23","868317b9be554cb18e50bc68484749a2","3",96,89000,257,"0","1","0",5,2,4,3,5.4,2,2,1,5,4,5,3,0.4,2,0.5,2,0,0,1,4,20.48
"24","f082d80f0aac47a99173ba8ef8fc1909","2",40,33000,753,"1","0","0",6,4,1,5,5,5,0,1,6,4,6,3,0.67,0.25,0.6,0.33,0,0,1,14,2.92
"25","102e9454054946fda62242d2e176fdce","2",69,57000,717,"0","1","0",6,6,4,5,5,4,0,2,6,4,6,3,1,0.67,1,1,0,0,1,14,15.25
"26","8dabe2142cdf4013a6f4786edf8ab00f","1",56,68000,1543,"1","0","0",3,2,2,2.33,10,0,2,1,3,2,2,2,0.67,1,0,0,1,1,0,9,18.63
"27","9f30b375d7bd4c62a884ffe7034e09ee","1",26,63000,354,"0","1","0",3,3,2,1.67,5.67,0,2,1,3,2,3,3,1,0.67,0,0,1,1,1,21,3.49
"28","6e014185620b49bd98749f728747572f","3",75,40000,993,"1","0","0",4,3,4,3,8,1,3,0,4,4,4,2,0.75,1.33,1,1,0.67,1.5,0,10,15.55
